시점,병원,상급종합병원,종합병원,의원,시도별
2009,167,17,42,7142,서울
2009,103,4,22,2065,부산
2009,98,4,7,1460,대구
2009,50,2,12,1313,인천
2009,49,2,17,826,광주
2009,34,2,6,964,대전
2009,36,0,4,516,울산
2009,244,5,48,5470,경기
2009,40,2,14,660,강원
2009,38,1,9,764,충북
2009,48,2,9,993,충남
2009,65,2,12,1042,전북
2009,75,0,19,888,전남
2009,73,0,18,1169,경북
2009,137,1,24,1457,경남
2009,5,0,6,298,제주
2010,171,17,42,7328,서울
2010,109,4,24,2071,부산
2010,101,4,8,1496,대구
2010,55,2,12,1321,인천
2010,53,2,19,839,광주
2010,35,2,6,957,대전
2010,37,0,4,532,울산
2010,253,5,49,5598,경기
2010,45,2,13,667,강원
2010,39,1,9,769,충북
2010,54,2,9,1021,충남
2010,66,2,12,1051,전북
2010,75,0,20,889,전남
2010,77,0,18,1169,경북
2010,140,1,23,1457,경남
2010,5,0,6,304,제주
2011,187,17,40,7388,서울
2011,121,4,23,2091,부산
2011,106,4,8,1531,대구
2011,56,2,13,1354,인천
2011,68,2,19,837,광주
2011,35,2,6,965,대전
2011,39,0,4,537,울산
2011,263,5,48,5704,경기
2011,48,2,13,679,강원
2011,41,1,10,788,충북
2011,51,2,10,1032,충남
2011,67,2,12,1074,전북
2011,76,0,22,896,전남
2011,75,0,18,1180,경북
2011,137,1,23,1472,경남
2011,5,0,6,309,제주
2012,200,17,41,7427,서울
2012,119,4,23,2086,부산
2012,109,4,8,1552,대구
2012,51,2,14,1372,인천
2012,69,2,19,846,광주
2012,38,1,7,997,대전
2012,43,0,4,531,울산
2012,1,0,0,52,세종
2012,281,5,50,5776,경기
2012,49,2,13,675,강원
2012,38,1,10,779,충북
2012,50,2,10,984,충남
2012,72,2,11,1077,전북
2012,78,1,21,894,전남
2012,77,0,18,1182,경북
2012,140,1,23,1482,경남
2012,6,0,6,321,제주
2013,212,17,40,7505,서울
2013,124,4,23,2119,부산
2013,108,4,7,1576,대구
2013,51,2,15,1384,인천
2013,68,2,20,864,광주
2013,39,1,8,995,대전
2013,42,0,4,537,울산
2013,1,0,0,57,세종
2013,291,5,50,5876,경기
2013,47,1,14,695,강원
2013,40,1,10,775,충북
2013,49,2,10,991,충남
2013,75,2,11,1080,전북
2013,76,1,21,894,전남
2013,81,0,18,1168,경북
2013,141,1,23,1481,경남
2013,6,0,7,331,제주
2014,210,17,40,7655,서울
2014,132,4,23,2157,부산
2014,111,4,7,1598,대구
2014,52,2,17,1403,인천
2014,74,2,20,889,광주
2014,41,1,8,1011,대전
2014,39,0,6,553,울산
2014,1,0,0,75,세종
2014,283,5,50,6032,경기
2014,46,1,15,710,강원
2014,41,1,10,793,충북
2014,50,2,10,1003,충남
2014,76,2,11,1084,전북
2014,82,1,22,892,전남
2014,85,0,19,1190,경북
2014,144,1,22,1496,경남
2014,7,0,7,342,제주
2015,218,14,42,7802,서울
2015,130,4,24,2198,부산
2015,114,4,8,1615,대구
2015,55,3,16,1444,인천
2015,75,2,20,893,광주
2015,38,1,9,1026,대전
2015,40,1,6,574,울산
2015,1,0,0,100,세종
2015,288,5,53,6159,경기
2015,49,1,14,717,강원
2015,40,1,11,815,충북
2015,51,2,11,1024,충남
2015,81,2,10,1107,전북
2015,83,1,22,905,전남
2015,84,0,19,1226,경북
2015,142,2,22,1522,경남
2015,7,0,7,361,제주
2016,222,14,42,8004,서울
2016,139,4,25,2227,부산
2016,113,4,8,1674,대구
2016,58,3,15,1477,인천
2016,75,2,20,904,광주
2016,40,1,9,1045,대전
2016,40,1,6,594,울산
2016,1,0,0,116,세종
2016,288,5,56,6399,경기
2016,48,1,14,738,강원
2016,41,1,11,841,충북
2016,49,2,11,1035,충남
2016,79,2,11,1125,전북
2016,81,1,23,923,전남
2016,83,0,18,1242,경북
2016,149,2,23,1569,경남
2016,8,0,6,379,제주
2017,221,14,43,8155,서울
2017,138,4,25,2279,부산
2017,112,4,8,1712,대구
2017,60,3,16,1496,인천
2017,74,2,20,915,광주
2017,45,1,9,1057,대전
2017,42,1,7,592,울산
2017,1,0,0,147,세종
2017,270,5,56,6600,경기
2017,48,1,14,743,강원
2017,39,1,11,847,충북
2017,45,2,11,1055,충남
2017,79,2,11,1143,전북
2017,74,1,22,931,전남
2017,79,0,19,1260,경북
2017,132,2,23,1594,경남
2017,7,0,6,412,제주
2018,223,13,45,8372,서울
2018,137,4,25,2342,부산
2018,108,5,10,1760,대구
2018,62,3,16,1529,인천
2018,78,2,20,933,광주
2018,49,1,9,1068,대전
2018,41,0,8,604,울산
2018,0,0,0,171,세종
2018,265,5,58,6817,경기
2018,45,1,14,761,강원
2018,39,1,12,865,충북
2018,45,2,11,1062,충남
2018,77,2,11,1153,전북
2018,74,1,23,943,전남
2018,76,0,20,1282,경북
2018,139,2,23,1620,경남
2018,7,0,6,436,제주
2019,228,13,44,8628,서울
2019,142,4,25,2384,부산
2019,109,5,11,1803,대구
2019,62,3,16,1573,인천
2019,80,2,21,948,광주
2019,51,1,9,1078,대전
2019,43,0,8,609,울산
2019,0,0,1,181,세종
2019,277,5,59,7065,경기
2019,45,1,14,769,강원
2019,37,1,12,891,충북
2019,44,2,11,1074,충남
2019,74,2,11,1165,전북
2019,78,1,22,944,전남
2019,74,0,20,1292,경북
2019,138,2,24,1639,경남
2019,7,0,6,448,제주
2020,230,13,43,8884,서울
2020,145,4,25,2419,부산
2020,109,5,12,1834,대구
2020,68,3,16,1591,인천
2020,85,2,22,958,광주
2020,50,1,9,1090,대전
2020,38,0,9,614,울산
2020,2,0,2,190,세종
2020,288,5,62,7257,경기
2020,45,1,14,779,강원
2020,38,1,12,897,충북
2020,45,2,11,1089,충남
2020,73,2,11,1172,전북
2020,79,1,22,940,전남
2020,73,0,20,1288,경북
2020,140,2,23,1657,경남
2020,7,0,6,456,제주
2021,222,14,42,9189,서울
2021,136,3,25,2468,부산
2021,88,5,13,1884,대구
2021,56,3,17,1633,인천
2021,84,2,21,970,광주
